Key,Array
A12HTKLZWLEAF5,"[5.293955920339377e-23, 0.0, -6.617444900424222e-24, 0.0, 0.0, 1.0587911840678754e-22, 2.117582368135751e-22, 0.0, 0.0, 2.5849394142282115e-26, 1.3234889800848443e-23, -1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, -1.0587911840678754e-22, 0.0, 0.0, 0.0, -6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, -2.0679515313825692e-25, 0.0, 0.0, 6.617444900424222e-24, 2.6469779601696886e-23, -1.0587911840678754e-22, 0.0, 4.1359030627651384e-25, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 0.0, -3.308722450212111e-24, 4.1359030627651384e-25, 2.6469779601696886e-23, 5.293955920339377e-23, -3.308722450212111e-24, 1.3234889800848443e-23, 8.271806125530277e-25, 0.0, -1.3234889800848443e-23, -6.617444900424222e-24, 6.617444900424222e-24, -1.0587911840678754e-22, -1.6543612251060553e-24, -4.1359030627651384e-25, 6.462348535570529e-27, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.271806125530277e-25, 1.0339757656912846e-25, 0.0, 2.5849394142282115e-26, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0679515313825692e-25, -4.1359030627651384e-25, 0.0, 0.0, 0.0, 1.3234889800848443e-23]"
A12I397MEWA1VB,"[1.6543612251060553e-24, 0.0, 1.6940658945086007e-21, 0.0, -3.3881317890172014e-21, -8.470329472543003e-22, 0.0, 0.0, 0.0, -2.5849394142282115e-26, -8.470329472543003e-22, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.308722450212111e-24, 0.0, 3.3881317890172014e-21, 0.0, -5.293955920339377e-23, 0.0, 0.0, 4.235164736271502e-22, 0.0, 0.0, 8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 8.271806125530277e-25, 6.617444900424222e-24, -2.117582368135751e-22, -2.6469779601696886e-23, 0.0, -4.1359030627651384e-25, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 8.271806125530277e-25, 0.0, 0.0, 1.6543612251060553e-24, 0.0, -3.308722450212111e-24, 3.308722450212111e-24, -2.6469779601696886e-23, -2.0679515313825692e-25, 1.3234889800848443e-23, 0.0, -2.0679515313825692e-25, 0.0, 2.6469779601696886e-23, -2.5849394142282115e-26, 2.0679515313825692e-25, 0.0, 5.293955920339377e-23, 0.0, -2.6469779601696886e-23, 1.0339757656912846e-25, -5.293955920339377e-23, 0.0, -5.293955920339377e-23, 8.271806125530277e-25, -2.0679515313825692e-25, 3.308722450212111e-24, 0.0, 6.617444900424222e-24]"
A12X146LZM6KM0,"[0.0, 0.0, 0.0, -6.617444900424222e-24, 2.117582368135751e-22, 0.0, 0.0, 0.0, -8.271806125530277e-25, 0.0, -2.117582368135751e-22, -1.0587911840678754e-22, 1.0587911840678754e-22, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, -1.0339757656912846e-25, 0.0, 0.0, 6.617444900424222e-24, -1.0587911840678754e-22, 4.235164736271502e-22, 0.0, 1.0587911840678754e-22, 0.0, -1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3234889800848443e-23, 0.0, 0.0, -6.617444900424222e-24, 0.0, 6.617444900424222e-24, 0.0, 5.169878828456423e-26, 0.0, -3.308722450212111e-24, -1.0339757656912846e-25, -1.3234889800848443e-23, 6.617444900424222e-24, 0.0, -6.617444900424222e-24, 0.0, -1.3234889800848443e-23, 6.617444900424222e-24, -6.617444900424222e-24, -1.3234889800848443e-23, 2.6469779601696886e-23, 0.0, 1.6543612251060553e-24, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, -1.6543612251060553e-24, 0.0, 2.5849394142282115e-26, 3.308722450212111e-24, 0.0, 0.0, 3.308722450212111e-24, 2.0679515313825692e-25, -1.6543612251060553e-24, 0.0, 0.0]"
A12X3J7IITW1J6,"[0.0, -8.470329472543003e-22, 0.0, -3.3881317890172014e-21, 4.235164736271502e-22, 6.776263578034403e-21, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, -5.293955920339377e-23, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 2.117582368135751e-22, 0.0, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, -1.3234889800848443e-23, 0.0, 0.0, -5.169878828456423e-26, 2.6469779601696886e-23, -2.0679515313825692e-25, 0.0, 0.0, 0.0, 0.0, -1.3234889800848443e-23, -1.6155871338926322e-27, -3.308722450212111e-24, 0.0, -8.271806125530277e-25, -5.169878828456423e-26, -3.308722450212111e-24, -1.2924697071141057e-26, -3.308722450212111e-24, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 0.0, -4.1359030627651384e-25, 1.0587911840678754e-22, 0.0, 1.6543612251060553e-24, -2.6469779601696886e-23, 0.0, 0.0, -1.0587911840678754e-22, -1.0587911840678754e-22, 0.0, -6.617444900424222e-24, 0.0, 0.0]"
A132O42MLTHYSX,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3234889800848443e-23, 0.0, 1.0339757656912846e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, -1.3234889800848443e-23, -4.235164736271502e-22, 5.293955920339377e-23, 0.0, 0.0, -1.3552527156068805e-20, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 5.421010862427522e-20, 1.3234889800848443e-23, -3.3881317890172014e-21, -6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 6.617444900424222e-24, 0.0, 0.0, 2.6469779601696886e-23, -5.293955920339377e-23, 0.0, 3.308722450212111e-24, 0.0, 0.0, 0.0, -1.3234889800848443e-23, -2.6469779601696886e-23, 0.0, 0.0, 0.0, -4.1359030627651384e-25, 0.0, 0.0, -6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3234889800848443e-23, -1.2924697071141057e-26, -1.6543612251060553e-24, 0.0, 0.0, 0.0, 2.0679515313825692e-25, -8.271806125530277e-25, 0.0, -8.271806125530277e-25, -3.308722450212111e-24, -3.308722450212111e-24, -1.3234889800848443e-23, 8.271806125530277e-25]"
A13PKMKQ0177SH,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.617444900424222e-24, 1.3234889800848443e-23, 1.3234889800848443e-23, 1.3234889800848443e-23, 5.293955920339377e-23, 0.0, 1.3234889800848443e-23, 0.0, 0.0, 8.271806125530277e-25, 0.0, -1.0339757656912846e-25, 0.0, 0.0, 0.0, 8.271806125530277e-25, 0.0, 1.3234889800848443e-23, 2.6469779601696886e-23, 0.0, 1.3234889800848443e-23, 0.0, 0.0, -1.6543612251060553e-24, 1.6543612251060553e-24, 4.1359030627651384e-25, 0.0, -3.308722450212111e-24, 1.3234889800848443e-23, 6.617444900424222e-24, 0.0, 3.308722450212111e-24, -1.3234889800848443e-23, 6.617444900424222e-24, 0.0, 4.1359030627651384e-25, 2.6469779601696886e-23, 0.0, 0.0, 0.0]"
A14BV6AW987ZDN,"[-1.6543612251060553e-24, 0.0, 0.0, 2.117582368135751e-22, 0.0, -8.470329472543003e-22, 2.117582368135751e-22, 4.235164736271502e-22, 0.0, 0.0, -2.117582368135751e-22, -2.6469779601696886e-23, -6.617444900424222e-24, 0.0, 0.0, -1.0587911840678754e-22, 0.0, -3.308722450212111e-24, -1.6940658945086007e-21, 0.0, 0.0, 0.0, -2.117582368135751e-22, 8.470329472543003e-22, 4.235164736271502e-22, 0.0, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 8.470329472543003e-22, -2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, 0.0, -6.617444900424222e-24, 0.0, 0.0, 2.6469779601696886e-23, -8.271806125530277e-25, -1.6543612251060553e-24, -6.617444900424222e-24, 6.617444900424222e-24, -1.3234889800848443e-23, 0.0, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 2.0679515313825692e-25, 0.0, 5.169878828456423e-26, 4.1359030627651384e-25, -2.6469779601696886e-23, -1.6543612251060553e-24, 1.6543612251060553e-24, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, -3.308722450212111e-24, -6.462348535570529e-27, 0.0, 0.0, -8.271806125530277e-25, -1.2924697071141057e-26, 0.0, 1.0587911840678754e-22, 0.0]"
A14QBW6X0Q1YSD,"[-1.3234889800848443e-23, -2.6469779601696886e-23, 0.0, -6.776263578034403e-21, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 1.3552527156068805e-20, 6.776263578034403e-21, 0.0, 0.0, -2.710505431213761e-20, -3.3881317890172014e-21, 0.0, 8.271806125530277e-25, 0.0, 2.710505431213761e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, -4.235164736271502e-22, -2.117582368135751e-22, 6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, -2.710505431213761e-20, -5.293955920339377e-23, 0.0, 0.0, -6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, -4.1359030627651384e-25, -8.271806125530277e-25, 2.6469779601696886e-23, 0.0, 1.3234889800848443e-23, 0.0, 1.2924697071141057e-26, 0.0, 0.0, 1.3234889800848443e-23, 4.1359030627651384e-25, -1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 1.6543612251060553e-24, 0.0, -4.1359030627651384e-25, -2.6469779601696886e-23, 2.6469779601696886e-23, 3.308722450212111e-24, 0.0, -1.6543612251060553e-24, 1.6543612251060553e-24, -4.1359030627651384e-25, 0.0, 3.308722450212111e-24, 0.0, 1.6543612251060553e-24, -5.293955920339377e-23, 0.0, -1.3234889800848443e-23, 0.0, 0.0, 5.169878828456423e-26, 0.0, 3.308722450212111e-24, -3.308722450212111e-24]"
A14R11HV2H7AVW,"[1.3234889800848443e-23, 0.0, 2.6469779601696886e-23, -1.6543612251060553e-24, -2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, -2.6469779601696886e-23, 0.0, 0.0, -1.0587911840678754e-22, -1.3234889800848443e-23, 0.0, -4.235164736271502e-22, 0.0, -2.6469779601696886e-23, 4.235164736271502e-22, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 3.308722450212111e-24, 0.0, 8.271806125530277e-25, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 1.9721522630525295e-31, 0.0, -1.6543612251060553e-24, 1.0339757656912846e-25, 6.617444900424222e-24, 0.0, -8.271806125530277e-25, -4.1359030627651384e-25, 0.0, -5.293955920339377e-23, 4.1359030627651384e-25, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 0.0, 0.0, 6.617444900424222e-24, 0.0, -1.3234889800848443e-23, 0.0, 0.0, -1.6543612251060553e-24, -2.5849394142282115e-26, 6.617444900424222e-24, 0.0, -1.3234889800848443e-23, -4.1359030627651384e-25]"
A14YENXHLKG9WL,"[8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, 8.470329472543003e-22, 0.0, 2.710505431213761e-20, -2.710505431213761e-20, -2.710505431213761e-20, 0.0, 0.0, 0.0, 0.0, 3.308722450212111e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.308722450212111e-24, 0.0, 0.0, 0.0, -3.308722450212111e-24, 3.308722450212111e-24, -6.617444900424222e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6543612251060553e-24, 0.0, 4.1359030627651384e-25, -2.6469779601696886e-23, 6.617444900424222e-24, -1.0587911840678754e-22, -6.617444900424222e-24, -5.169878828456423e-26, 0.0, 2.6469779601696886e-23, 1.6543612251060553e-24, -1.3234889800848443e-23, -5.293955920339377e-23, -2.0679515313825692e-25, 1.6543612251060553e-24, -1.6543612251060553e-24, 1.3234889800848443e-23, -3.308722450212111e-24, 0.0, -5.293955920339377e-23, 0.0, 0.0]"
